No,Review
11,"I switched my drug plan to UHC from Humana -- biggest mistake since getting Medicare. Several of my drugs aren't covered and UHC's formulary gives an alternative drug -- NOT a generic. To get the original Rx my physician needs to submit a ""prior authorization."" Isn't the FACT that my physician prescribed the drug a ""prior authorization""!?!? When I called 'customer service' (and I use that term loosely) the person that answered did not speak English as their first language. I asked to be transferred to a US person and they did. However, when that person put me on hold to ""gather more information"" I was disconnected. I called back and was told by the second person their ""supervisors advised them NOT to call back if disconnected due to the volume of calls they receive"". Rest assured I will be switching back to Humana as soon as I can."
12,"I became a member of a UnitedHealthcare Medicare Advantage Plan January 2023. Observations: Customer Advocates are located in another country. They have not been trained. I've made several calls and have spoken to several reps who simply do not know how to answer simple questions. Very disappointing. Have since been provided with a number with US based reps. Problems with ID Card/U Card. Currently waiting for 4th card as the prior cards had errors. Unable to use U Card benefits due to multiple errors in card generation. Website and app do not work properly. Various messages appear and will not load information. After having the plan for less than 2 months, I'm considering changing to another plan with another company. It's very disappointing to expect actual service from a large corporation as UHG. This has been the worst experience for me with a Health Care company. I had a commercial plan prior to this plan with absolutely no issues. Why is the Medicare side of UHG seemingly so incompetent?"
13,"I have been trying to use my new UCard to purchase healthy products and make utility bill payments. UHC sent me multiple UCards with the wrong doctors' information and bar codes that didn't work. Their online bill pay system has all the WRONG information and don't allow customers to manually enter the correct information. Their ** customer service agents are not only incompetent, they don't understand anything and even need simple things like DALLAS spelled out. They are unprofessional and intentionally give customers a hard time. I have a recording with the agent and her colleagues giggling in the background. When I asked to be transferred to a U.S. agent, they pretend to be concerned, put you on hold for more than 30 minutes, then hang up on you. They are in collusion with Walmart for the bill payments to collect the fees and make things extremely frustrating for seniors. This is NOT a good use of a ""benefit."""
14,"I have been a UHC customer for 5 years. Evidently they have gone overseas with their customer service. When you call, if you can understand them, they cannot explain your benefits to you! I have to make multiple calls and either get multiple answers or the answers do not make any sense. For example, I was calling about a diagnostic procedure where they inject ** into my back and if they perform this procedure two times and I get 89% relief each time then they will do a nerve ablation.They told me my copay, according to the insurance is $52 for my portion. I called to verify this and neither person I spoke to could explain this. One of them kept referring to my drug plan. Then they told me I had to pay 20% of the procedure. When I asked where they found that they said I have to pay 20% on all of my medical. Which I know not to be true! This is a common thread that runs through UHC anymore. I will be changing insurance next year. It is too frustrating to deal with them any longer! It’s a shame because they use to have such good Customer Service!"
15,"I bought glasses in which they said I was approved but for my portion. Paid my portion and just received a bill approx 4 times the amount more than I originally paid as far as my portion. As far as that one said one thing and the other said another. In other words whose fault. No answers. Ok, my review is toward United Health Care. I’m speaking to them I asked them besides who’s right and wrong in issue of my bill what does plans cover. I see it states up to 200.00 and they only paid 112.86 out of 487.00.Be advised that when they are billed they pay for basic glasses. In reality they only pay 112.86 for glasses not up to 200. I looked on UHC site for this info. If you get more than they cover in which you better call first because they don’t state it you will be stuck with a much higher bill. I told them we are retired on fixed income and there needs to be clarity, not hidden costs. I’m stuck paying 312.30 for a 487.00 dollars for a pair of glasses not 67.00 which was told to me. Call UHC before you buy glasses because it’s not as stated."
16,I waited to give my rating and was put back in the queue. The agent didn't understand me very well and I had to repeat myself several time. I told her she could not understand me and she asked me to repeat myself again.
17,"Dealing with insurance is a notoriously bad experience but these guys take it to a new level. We have been jumping through hoops answering and re-answering questions, filling out forms, providing information just to find out why something is not covered. We still don't have our answer. If my employer provided an option to use a different provider I would jump at the chance. NOT RECOMMENDED. Customer service is perhaps the worst I've ever experienced."
18,I started This process is January and now it's February. They don't have my information. They don't know nothing. I have to turn in paperwork that you didn't tell me now I have to redo my application because now that I know it's too late so I have to redo this again. Wow. This is crazy. Communication is terrible. Will not recommend this to anyone else. Too much of a hassle.
19,"It is 6 weeks and have not received U card. Worst customer service after calling them 7-8 times providing misleading untruthful information. Not providing automatic review after customer service. Asked to speak to supervisor and was told it is Friday they leave early or will call back today, never to hear from them.They have robotic response as though reading from script, are from Philippines. Every time they say, ""We will issue a duplicate"" and next time you call they say, ""No one has issued duplicate let me order today."" They delete call log and disconnect the feature to leave a review after the phone call. Most inefficient service that cannot get a simple job of issuing a card get done. Every time they ask to wait 2 weeks to get the U card and never sent anything. It is 7 weeks and no response yet."
20,"I have a short term disability policy with United Healthcare. I never thought I would need it. Now that I do, I can't get them to pay. I wish I could give United Healthcare zero stars. They will do anything to keep from paying claims. I had to request forms from them 3 times before they were sent to me. Each time I spoke to someone they had no prior notes stating the forms were emailed or even requested by me. After my Dr filled out the forms and submitted them, my representative rejected the forms. Her reason was that the date of the absence could not begin January 5, the date my Dr. put on the forms. January 5 was the date of my Dr's appointment. How does an insurance company get to tell a Dr what he or she is supposed to put on a form? The representative said that the date must be December 30, because that was the first date that I missed work. OK, but this makes NO sense, because I didn't get in to see the Dr until January 5. I was not asking this company to pay me starting December 30. I just needed some portion of my income (50%) so that I could continue paying for my health insurance while I was sick and unable to work. I desperately needed the health insurance to pay for my ongoing treatment. If you have any choice, do not go with United Healthcare, my experience has been horrible. They are very nice when you call, but they do NOTHING to help you, even though they will tell you they are doing something. They will do anything to get out of paying for benefits they owe. Their representatives seem to be trained to delay, delay and delay. They also have no problem making the process as difficult as possible, regardless of how sick you are. Ultimately they will deny your claim and blame it on you for not providing the documents on time. Or, say you did not have the correct information on the documents."
21,"My prescription was 50$ for months. UHC then decided that they want me to use their online pharmacy, Optum so they jacked the price at my pharmacy to $500 to force me to use their pharmacy. I spent every day for a week trying to get it transferred only to find out that they don't even have the medicine in stock. I am now 2 weeks without my medicine and I am on the verge of going to the ER every day. These practices literally put lives at risk and they are using extortion tactics to force me to use their pharmacy. UHC represents everything wrong with our healthcare system."
22,"The United Health Care OTC (over the counter) program has the worst CSRs I’ve ever encountered Never mind they can’t speak English, but they have no comprehensive abilities.. changing to another service."
23,"United Healthcare lists many doctors on their site as in-network that are, in fact, not in-network. Then they reject claims to those doctors. I called over a dozen doctors, and was told each time that my insurance was not accepted despite the listing on uhc.com. Finally, I found an in-network doctor over 50 miles and an hour drive from my home. After my appointment, the claim was rejected as out-of-network.In trying to remedy this, I was left on hold for ""2 minutes"", which was much closer to 20. I was read a very well-rehearsed script about how I can appeal the claim, with the entire burden placed on me to resolve whatever paperwork issues they claim to be having with their claims department. That turns out to be impossible: the link to the appeal form on their site is dead. I get ""Bad Request"" from ""Apache/2.4.38 (Debian) Server at prod.member.myuhc.com Port 80"". I advise anyone in NJ having problems with United Healthcare to go straight to ** and file a complaint there."
24,"As soon as I went on COBRA coverage from my prior employer with the EXACT same plan, filing claims and trying to get medical supplies for a Type 1 diabetes became a nightmare. It's like they found out I wasn't going to have coverage for that much longer and decided to make it as difficult as possible to file a claim. They started requiring all sorts of clinical notes and pre-authorization for diabetic supplies. THERE IS NO CURE FOR TYPE 1 DIABETES. Now all of the sudden they need new doctor information to approve supplies I have gotten for years. Unbelievable."
25,"Updated on 02/18/2023: I notified United Healthcare's Chief Executive Officer of my 1/23 review in a 1/25 email. And, in a 2/17 email notifying the CEO of an unresolved issue & new problems I invited their response to my review.Original Review: They have not furnished me with results for a Colon Cancer test which their vendor lab got 12/23/22. This is after I called their representative Optum on 1/12/23. Besides Optum not getting back to me, Optum had an outdated address for me. Note: I notified United Health twice of my current address. United Health sent me a Colon Cancer test kit after I called them on 10/12/22  to tell them I already had a Colon Cancer test kit."
26,"The 1-866 customer service number is worthless. The majority of agents are not capable of answering your questions. Some agents do not have the skills to comprehend your questions. I have been told multiple times my Medicare Advantage plan will pay 100% of my routine dental procedures at an out of network dentist. (Payments will are capped at $1000 per year.) NOT TRUE! Like most insurance plans, there is a maximum amount insurance will pay to any out of network service provider for ALL procedures. Today I tried to address this issue with a ""supervisor"". She tried to tell me how the plan works (again). It took a while, but she finally understood I was calling to complain about agents giving customers inaccurate information. She said she would file a complaint. She never said the problem would be addressed or corrected."
27,Avoid United Healthcare. My doc sent an Rx to UHC’s pharmacy benefit mgr. (My UHC and PBM accounts are current.) The UHC PBM refused to fill the Rx. My doc then sent the Rx to a local retail pharmacy who had no problem filling the Rx.
28,"Since joining UHCare, I've been having issues with understanding the people that answers their phones with this pharmacy. Besides the outgoing message it's very hard to understand these people. They need to speak English better."
29,I was just astonished to find that the United Heathcare prescription plan endorsed by AARP did not cover a standard blood thinner (Eliquis) which is prescribed widely due to its safety for seniors with AFIB and blood clotting disorders. So now I must pay over 450.00 per month for a prescription that is commonly prescribed for this issue. I cannot understand how AARP who is suppose to represent seniors could endorse this substandard prescription plan. I am very disappointed for this stain on AARP’s reputation.
30,"I'm being denied a request for medication based on the fact that I haven't tried a cheaper drug that United Health Care/Optumrx wants me to try before being given the drug that my doctor prescribed me. My request was denied by a Jeffrey A. ** M.D. - a doctor that I do not know and that I do not have any communication with. Now I have to make an appeal so that this greedy and unregulated insurance company can save $300. Considering I have no other options through my employer, I am stuck with their services."
31,"Wanted to cancel overpriced short term health plan, because I got insurance through employment. Refused to cancel before the prepaid to date. Now I have to double pay health insurance for 1 month, no refund. This is theft, plain and simple. Stay Away!!!"
32,"They should change their name to United Denial No Care! They denied every single claim for over a year, including all ""covered"" maintenance. They could care less about you. All they care about is YOU paying their bottom line. They don't care 1 iota about our health! How this scan has more than 3 stars on this site should give you pause! DO NOT GO WITH THEM. THEY. WILL. SCAM YOU! Bankruptcy is at the end of this service for you, if you go with this scam!"
33,United Health Care only wants to be wealthy and not keep you healthy. They deny claims after 16 months with no explanation. I thought that surprise billing was illegal. They should not be able to retract from their financial obligations after a procedure. I pay my premiums and they are supposed to pay their part when needed. They are fraudulent. I am better off paying out of pocket and discontinuing insurance. Someone needs to put a stop to their scam. Do yourself a favor and stay away from Untied Health Care!
34,"Even if you can prove you have received faulty contacts, they want you to return each faulty lens before you can get a refund. How am I supposed to do that if I have dailies? Open each individual contact lens case and test them? Then I ruined all the good contact lenses while testing to see if they were faulty or not. Not all the contacts were faulty and I don't have the option of glasses at the moment. It is an unreasonable policy and discourages returns despite faulty product. They want your money and will go to the most painful lengths, (yes, even keeping you blind) to keep your money. They no longer have my business, they practice in bad faith, and I don't recommend anyone utilize their services because they DO NOT have your best interests at heart and DO NOT care about you or your problems."
35,"I met my deductible and out of pocket minimum for 2022. I double checked with UHC to make sure my deductible and out of pocket max are from Jan 1 - Dec 31 because I needed to have surgery in December, they confirmed that was correct. Our policy renewed on Dec 1. My deductible went up 250.00 and my out of pocket went up 450.00 for the next year - I knew that and get it - But now they have added that 700.00 increase to the deductible and out of pocket max to my totals that I have already met for this year for December and it won’t even apply for the next year because it all resets in Jan. This is theft, stealing, scam, what ever you want to call it. I can’t believe a company could be this smarmy, it’s sickening. I called customer service three times today, two of the times the person on the other end couldn’t understand the problem. I asked for a supervisor and waited on hold for 30 min. When I finally got one she said patronizingly (I’m sorry, that’s just how it works). I am so sick of ** like this from UHC."
36,"I am a severely disabled individual. I signed up with UnitedHealthcare Medicare Advantage because my disabilities require the extra benefits they provide. I have been with them for 4 months, and have made countless phone calls to them about various things. I have never be treated SO POORLY by customer service agents. I even tried to file a grievance against one and they refused to provide me with any kind of copy or proof of the grievance (despite assuring me that I would get it at the beginning of the process)!I'm in the process of contacting corporate because I know from friends and family that my experience is not unique. These agents are uneducated - uneducated about the needs of the disabled community, uneducated about more than just the basic things concerning insurance, and uneducated on how to effectively listen and communicate. Some of them have been dishonest and disrespectful. Most of them have no care or compassion for your needs - even when the needs are to keep your body alive. Unitedhealthcare's insurance and benefits are EXCELLENT, but dealing with their advocates and agents is a nightmare that generally leaves me in tears."
37,"They have rejected 3 valid claims only to revert their decision after escalating the issue. I had to record the phone call to escalate it and get some attention to the same. This is very frustrating, because every time a claim is denied, it takes two to three hours to get in touch with them and get the issue resolved. Why are they denying valid claims in the first place. Horrible customer experience."
38,I was requesting for my new prescription and was always declined. Made several call to Angela for 3x about their request of prior authorization and so I need to call my physician many times and immediately they took the action of providing prior authorization thru the number of their FAX machine.. But Optum Rx keep saying non was receive for 3x of follow-up. I made another call this time at 1514 11/28/22 to ** (who said it's illegal for him to give his last name). He said the same thing again. That they need a prior authorization. I was also billed for 3 items when in fact I only received 2 items.
39,"I have had a very bad experience with this company regarding a disputed claim and the unwanted barriers this company has created to solving the problem. My disabled 89 year old mother is on UHC insurance and we have a disputed claim involving nursing home care. I pay nearly all of my mother's medical bills so this affects me enormously.During early October of 2022 Mother suffered a fall and injured her hip. She was hospitalized for 4 days, then discharged to a nursing home. While at the nursing home she contracted an illness that caused her to vomit. She was hospitalized again and diagnosed with COVID. She stayed at the hospital for 3 days and was released back to the nursing home for a period of time.I was lied to and misled regarding the nursing home coverage. A totally unexpected bill for 8 days of private-pay nursing home care arrived in the mail. The bill was for over $1100. I was previously told that the 20-day clock for nursing home care restarts when there is re-hospitalization for another condition not related to the original medical problem. This is what the government Medicare office says is true. However the insurance company processed it differently and refused to apply the reset of time.I ran into very thorny problems attempting to contact UHC regarding this problem. I soon found that I could only talk to sales people who are trying to sell new policies. They transfer you to the claims department. Then you get a recording saying that there is no one available for you to talk to in the claims department. You have to go online to contact the claims department. You go online and they route back to the same worthless customer service number you just called and to Facebook and Twitter. What good is Twitter? If you don't have a Facebook account you can't contact them. It boggles the mind why they won't let you contact them from your Gmail account regarding such problems when they also won't let you talk to anyone in the claims department via telephone."
40,"We've had UHC AARP Medicare Rx and Medicare Supplement plans since 2015. I recently tried to update my autopay checking account because of fraudulent activity affecting my old account. Nightmare!! UHC's website does not open on my PC, so I spent 35 minutes on the phone with an agent updating Part D Rx autopay. There is absolutely no excuse for this level of time commitment just to change an account number! I received a confirmation and payment was processed by my bank.Since each type of account requires interacting with a separate department, I had to contact UHC again to change the account on my Part B Supplement. After a 24-hour sanity break, I called again and spent another 30 minutes on the phone with the separate Supplement Part B plan agent to update my checking account number for that autopay. I have a confirmation number, but the bank has not shown any request for payment. I have no idea where the transaction is sitting. I still have to call the Reimbursement department to update my account for deposits of my employer's reimbursement funds. And I need to try again to get technical support for the website issues. I simply cannot face a follow up call plus another 2 phone calls with them!! My guess is that their sales department is quick and efficient in answering phone calls, but God help you if you need actual customer support. I don't know how a company can be so insensitive to customer needs."
41,"I completed an application for a United Healthcare Supplement Plan G on 7/27/2022. I was losing my employee health insurance benefits on 8/31/2022. My application was accepted and I was issued a Membership Effective 9/1/22. I went to my doctor for a routine checkup on 9/26/22 and blood work on 9/16/22.I was told that I did not have proper insurance at my doctor's visit. The blood work was not questioned. I received a bill of $306.02 from my doctor and $564.78 for the blood work. In checking why I was billed it was explained by Medicare that Part B was never arraigned for by anyone. They also said the application should have been denied. When I contacted United Healthcare they apologized and terminated the policy. I then called Medicare to sign up for Part B effective 11/01/2022.When I called another insurance company to add an advantage plan they cannot make it effective until 01/01/2023 because technically I did not have insurance for 60 days. Yet I had a policy and was paying a premium. United Healthcare should never approved the policy, which so far has costs me $870.80 to date. This does not include the premium. Thank You, Vincent"
42,"I have Medi Cal and Medicare and was trying to enroll with UHC and they told me I could keep my same Dr. then when they called me to verify my enrollment they had assigned me a Primary Care Dr, I'd never heard of, I told them their representative had told me I could keep my same Dr, and they said I couldn't so I immediately disenrolled, they kept me on hold for 48 minutes... What a pain. Hopefully no one else gets caught up in their lies."
43,This insurance SUCKS.Read the other reviews.UH is complete trash.Customer service is garbage Good luck getting anything coveredTried to use when I needed it most. Everything was denied .This insurance is perfect if you just want to waste your money and never ever get sick!!!! Otherwise run away from this disgusting fake insurance company
44,Nobody knows what they're doing. I have spent more time on the phone with them than I ever have had to with a insurance company and got zero issues resolved. Their ppc referral plan is the absolute worst. Don't waste your money or time with it
45,"I found UHC to be extremely difficult to work with. In fact, the worst insurance companies we have EVER dealt with. There is no clear explanation of coverage when a UHC representative is asked. On SEVERAL occasions, I was told one thing (with regards to coverage), then when the claim was made, it's now suddenly different. We are also passed from department to department and have difficulty getting a straight answer - at that. We are Expat Insurance members, and several times I've received a reply back from UHC saying: ""Please MAIL (?!!) your claim to this American address"". Do you know how long it would take to mail something to a PO BOX from overseas?? This is constantly a problem. Local departments dealing with International claims. Also, sensitive documents seem to become ""lost"" over at UHC. For example, I submit a claim with all the supporting documents, and then I have a request to RE-submit these documents again. Where are these personal SENSITIVE documents going? Are they being intercepted by a third party? Overall, I would NEVER recommend UHC to anyone as there are serious disorganization problems within UHC and sensitive documentation is being lost."
46,"We have had UHC for several yrs through our employer. They are the worst health insurance companies we’ve ever experienced!! The most untrained unprofessional and rude reps. Long hold times - MANY times I am finally disconnected or they just never answer! And I’ve been hung up on when I press them on something they don’t know the answer to. Another game is they will say they are transferring me to a “supervisor” or “level II rep” when I ask to escalate due to them having no clue how to service my request - I will hold for 15-45 min and then am disconnected. HORRIBLE! They do not know what they are doing and if they say they are transferring you just hang up. They show no apology for being hung up on or hold times in excess of 25 min. They simply don’t care and NO ONE at the top cares or they would appropriately train their service reps. Also every rep will tell you a different thing- so document date and what they said and employee #. Go do a search on the unethical fraudulent background of the leaders of this company. UHC tops the list for consumer complaints. I am in the midst of fighting them on a common sense claim they are sending me through circles on. And no one seems to k on why it isn’t being covered and the phone call drops after them trying to find a supervisor to help me. I asked them to have a supervisor call me directly due to the HOURS I’ve spent on this and they say that’s against their policy. Other excuses I’ve gotten is “for some reason I can’t pull that up”, “our system seems to be down”, “I’m not sure why but I can’t transfer you”, “I’m sorry that you were on hold for 15 min. We don’t usually do that"" (followed by a 30 min hold time and a disconnect!!). They are designed and taught to play dumb, deny claims or pretend they never received them or that their system isn’t working correctly. We are dropping them at open enrollment and have reported back to HR how abysmal their service is."
47,Sadly we don’t have another option of healthcare to choose from from my husband's corporate work otherwise we would switch. The PPO is no better than an HMO. Seems like every one of our treasured drs either doesn’t carry United Health Care but seems to carry Blue Cross and Blue Shield PPO or they are dropping UHC due to not getting reimbursed enough in comparison to the other PPO insurances. I feel like we have healthcare yet we’re paying out of pocket for every dr. It would make more sense to go concierge at this point and know we will at-least get quality care physicians.The UHC website has not been updated in a very long time. There are drs on the list of in network providers that have dropped the insurance and they're still showing up as in network. I can’t say worse things about how awful this insurance is in comparison to the other PPO plans. You're better off getting Blue Cross/Blue Shield PPO. At least you’ll have more options for quality care physicians. Absolute incompetence with the people you have to deal with. No one knows what they're talking about. It’s like banging your head against the wall dealing with dealing with people at United Health Care. Go elsewhere if you're able. You won’t regret it.
48,"worst medical carrier ever. This is an employer provided program. Denied Covid test even though test performed in an in network hospital. In addition, they decided that a provider was ""partially"" out of network and paid 1 item and denied two. Again, procedure performed in an in network hospital. They still claim they are correct. I would never voluntarily purchase coverage from them."
49,"My daughter had to have hip surgery in summer of 2021 due to chronic hip pain. United Healthcare paid some claims and then decided to deny one of the procedures done as part of the surgery, claiming it wasn’t “medically necessary.” Ya tell that to my daughter who is now pain free for the first time in years. They left us on the hook for an additional $5,000 over and above the thousands we had already paid for the surgery. I spent hours and hours on the phone with UHC and each time it was a different story, ranging from “the hospital billed it incorrectly, just have them resubmit,” to the procedure was not “medically necessary.” Finally, I submitted an appeal of their denial on the claim. They are required to respond with a decision in 60 days. After that date passed, I spent more hours and hours on the phone with them asking about the appeal. In the end, it took them over 3 months to tell us that they are denying our appeal. No big surprise there, just more wasted time. They had some doctor who works for them write the denial. Here’s an example of one of his sentences, word for word “There are no records submitted that establish the doctor treatment surgically was done of this and the rare no records submitted establishing the diagnosis of the snapping hip.” I guess when you’re not good enough to actually practice medicine as a doctor, you go to work for the insurance company denying claims. Clearly, you don’t even need to be able to write in complete sentences to work for UHC. I have no idea what he’s trying to say here, but let’s assume it’s that the surgeon performed a procedure for an issue that my daughter wasn’t diagnosed for. Huh, the surgeon is really going to do that and I’m actually going to let him, I don’t think so. Where do they get these people? Now they claim we have to file a second appeal before we can take it to an external appeal. They clearly want to drag their feet for another 3 months or more. An external appeal is where someone other than UHC gets to decide what’s “medically necessary” and that’s what they want to avoid. Like all unethical big businesses, they are clearly just trying to wear down the consumer until we give up.Well we didn’t give up. Finally, after multiple appeals, delays, and roadblocks during an almost a year-long battle with UHC we got the chance to file an external appeal. Guess whatthey overturned the UHC denial of our claim. I guess all it took was a real doctor who doesn’t work for UHC, from an Independent Review Organization taking an impartial look at the evidence to decide that the procedure was totally appropriate and should be covered.Finally UHC will have to pay for the procedure and we’ll start to get our money back. Unfortunately there’s no penalty for their actions, no compensation for the weeks and weeks’ worth of my time spent researching and preparing appeals. They will keep fraudulently denying claims and ripping off health care consumers. This company is ethically and morally bankrupt and their only mission is to make a buck off of people’s illness, not help people. Need proof? Just look at their QUARTERLY profits measured in BILLIONS of dollars. Yet they refused to pay our $5,000 claim. In the end, it really feels like some thief stole $5,000 from my family and then made me play some sick stupid game over the next year in order to get it back. That thief is very real and it’s United Healthcare!"
50,"Worst health insurance company ever. If you don't send an appeal letter, they will refuse or try not to pay for the procedure. It's like the insurance representative is better than your doctor. Most of the dental services they don’t cover even when you in so much pain and with doctor’s letter. Heartless company."
51,"I'm 67 years old. I've had plenty of experience trying to get payment on claims from different insurers. United Healthcare stands in the #1 position in my own personal Hall of Shame for healthcare insurers. When filing my own claims (presumably because the Drs offices don't want to deal with the ** this company deals out so generously) it takes 30-60 BUSINESS DAYS to process them. Then another 10-14 BUSINESS DAYS to get a check to you. Then, when I call to check up, I get someone who reads what's on the computer about the claim that has been proven to be WRONG EVERY TIME! The claim has been 'escalated'. I thought that meant it would be noted as a priority! Apparently it was on an escalator going to the bottom of the pile. On June 23, I was told I would get a call from a supervisor the NEXT DAY. Well, it's July 17 and I'm still waiting. Sheesh. HORRIBLE, SHAMEFUL, ABSENCE OF INTEGRITY AND EITHER SUPREMELY DISORGANIZED or FLAT-OUT LIARS."
52,"I was diagnosed with invasive breast cancer (stage 2b). They (United Healthcare, a/k/a UMR, Accolade), delayed my radiation treatment because they denied pre authorization, at first, until my oncologist called them. Now 2 months after radiation they are denying payment, saying there was no pre authorization? Makes no sense. We got prior authorization, in fact, treatment was late because we had to wait for the pre authorization! And now we have a bill for over 14k because this company says there was no pre authorization? It’s horrific to go through cancer treatment and then to have the nightmare of this insurance company constantly betraying your trust. This is what we paid for? I just wanted to warn someone, anyone. If only my husband and I had known how truly treacherous this company was."
53,"First I wasn't advised that since I applied on or after the 15th of the month, the coverage is not reverted to the 1st day of the month. The coverage isn't even started on 06-27-22, when the payment was verified as received by United Healthcare. Because I applied on 05-24-22, the coverage didn't start until 06-01-22. I could have gone bankrupt waiting for the coverage to start if I had to go to urgent care or the hospital. When I call and reach out-of-the-country customer service, there is never a resolution to any issues I raise. Also, while the voice integrated system indicates a survey follows the customer service, because United Healthcare stars in review is around 1.6, no survey comes on the line. Finally, immediately after I received coverage I had to wait to see what doctors, urgent care, and hospitals to go to past 06-01-22, when the coverage started. These doctors, for instance, may or may not accept not accept new patients."
54,"After having a stroke and being in the hospital, I contacted customer service to inquire about my coverages. I received 3 different answers to the same coverage questions by 3 different customer reps. After leaving the hospital with a heart monitor I called again to check my coverages for the unit. I was told by the same rep the unit was covered, then told it was not covered and then was told I was covered in the same conversation minutes apart.After asking for a supervisor I explained to her I have been given false health coverage information from several customer reps and made some poor decisions because of it, she just said, ""Sorry"" and then asked if there was anything else I needed. I said, ""Yes. Would you please listen to my previous 6 calls I made to the reps"" to prove to her the false coverage information I was given.. She stated only certain people can do that. (As a supervisor it is her duty to get to the bottom of misinformation.) She then asked if there is anything else I needed. I stated, ""I will not renew my coverage with UHC when enrollment period returns due to your corporation's poor and false coverage details.."""
